epoch_num;train_loss;valid_loss;train_acc;valid_acc;lr;epoch_time
1;11.885.896;12.344.582;0.5769555555555556;0.5612;9,98E+01;4.145.865.213.871.000
2;0.774334;0.974905;0.7359777777777777;0.65;9,96E+01;5.047.390.971.183.770
3;0.4996098;0.92093164;0.8329555555555556;0.687;9,95E+02;4.025.695.948.600.760
4;0.44813704;11.092.659;0.8484222222222222;0.6758;9,93E+01;4.867.775.287.628.170
5;0.28580812;10.873.445;0.9047111111111111;0.6916;9,91E+00;4.545.234.489.440.910
6;0.20189275;12.775.421;0.9317111111111112;0.6934;9,89E+01;4.987.466.027.736.660
7;0.09996214;12.952.383;0.9657777777777777;0.7218;9,87E+01;4.282.897.551.059.720
8;0.07292913;13.185.238;0.9761555555555556;0.7046;9,85E+02;39.974.944.615.364.000
9;0.10540525;12.481.056;0.9663333333333334;0.7138;9,84E+02;4.012.636.342.048.640
10;0.09485955;15.634.665;0.9686888888888889;0.7056;9,82E+01;4.212.275.536.060.330
11;0.06360695;1.516.012;0.9782888888888889;0.7102;9,80E+01;39.898.072.052.001.900
12;0.04271324;14.291.582;0.9862222222222222;0.7248;9,78E+01;40.957.954.144.477.800
13;0.058332358;16.191.415;0.9810888888888889;0.717;9,76E+01;40.601.855.206.489.500
14;0.040988557;15.326.483;0.9861777777777778;0.7222;9,75E-01;39.920.333.194.732.600
15;0.053693183;15.699.985;0.9811555555555556;0.7124;9,73E+01;41.254.061.341.285.700
